"Fradato";"Tildato";"Forbrug i kroner"
"=""06-01-2024 07:00""";"=""06-01-2024 08:00""";"0,35 kr."
"=""06-01-2024 08:00""";"=""06-01-2024 09:00""";"0,43 kr."
"=""06-01-2024 09:00""";"=""06-01-2024 10:00""";"0,39 kr."
"=""06-01-2024 10:00""";"=""06-01-2024 11:00""";"0,61 kr."
"=""06-01-2024 11:00""";"=""06-01-2024 12:00""";"1,81 kr."
"=""06-01-2024 12:00""";"=""06-01-2024 13:00""";"0,93 kr."
"=""06-01-2024 13:00""";"=""06-01-2024 14:00""";"0,70 kr."
"=""06-01-2024 14:00""";"=""06-01-2024 15:00""";"1,24 kr."
"=""06-01-2024 15:00""";"=""06-01-2024 16:00""";"0,81 kr."
"=""06-01-2024 16:00""";"=""06-01-2024 17:00""";"1,09 kr."
"=""06-01-2024 17:00""";"=""06-01-2024 18:00""";"7,01 kr."
"=""06-01-2024 18:00""";"=""06-01-2024 19:00""";"1,87 kr."
"=""06-01-2024 19:00""";"=""06-01-2024 20:00""";"1,00 kr."
"=""06-01-2024 20:00""";"=""06-01-2024 21:00""";"0,84 kr."
"=""06-01-2024 21:00""";"=""06-01-2024 22:00""";"0,66 kr."
"=""06-01-2024 22:00""";"=""06-01-2024 23:00""";"0,68 kr."
"=""06-01-2024 23:00""";"=""07-01-2024 00:00""";"0,62 kr."
"=""07-01-2024 00:00""";"=""07-01-2024 01:00""";"0,61 kr."
"=""07-01-2024 01:00""";"=""07-01-2024 02:00""";"0,37 kr."
"=""07-01-2024 02:00""";"=""07-01-2024 03:00""";"0,38 kr."
"=""07-01-2024 03:00""";"=""07-01-2024 04:00""";"0,25 kr."
"=""07-01-2024 04:00""";"=""07-01-2024 05:00""";"0,32 kr."
"=""07-01-2024 05:00""";"=""07-01-2024 06:00""";"0,30 kr."
"=""07-01-2024 06:00""";"=""07-01-2024 07:00""";"0,41 kr."
"=""07-01-2024 07:00""";"=""07-01-2024 08:00""";"0,44 kr."
"=""07-01-2024 08:00""";"=""07-01-2024 09:00""";"0,50 kr."
"=""07-01-2024 09:00""";"=""07-01-2024 10:00""";"0,55 kr."
"=""07-01-2024 10:00""";"=""07-01-2024 11:00""";"0,86 kr."
"=""07-01-2024 11:00""";"=""07-01-2024 12:00""";"0,79 kr."
"=""07-01-2024 12:00""";"=""07-01-2024 13:00""";"1,63 kr."
"=""07-01-2024 13:00""";"=""07-01-2024 14:00""";"2,18 kr."
"=""07-01-2024 14:00""";"=""07-01-2024 15:00""";"0,58 kr."
"=""07-01-2024 15:00""";"=""07-01-2024 16:00""";"0,48 kr."
"=""07-01-2024 16:00""";"=""07-01-2024 17:00""";"0,47 kr."
"=""07-01-2024 17:00""";"=""07-01-2024 18:00""";"0,82 kr."
"=""07-01-2024 18:00""";"=""07-01-2024 19:00""";"1,29 kr."
"=""07-01-2024 19:00""";"=""07-01-2024 20:00""";"1,21 kr."
"=""07-01-2024 20:00""";"=""07-01-2024 21:00""";"1,13 kr."
"=""07-01-2024 21:00""";"=""07-01-2024 22:00""";"0,82 kr."
