Fradato;Tildato;Forbrug i kroner
07-05-2023 00:00;07-05-2023 01:00;0,17 kr.
07-05-2023 01:00;07-05-2023 02:00;0,14 kr.
07-05-2023 02:00;07-05-2023 03:00;0,17 kr.
07-05-2023 03:00;07-05-2023 04:00;0,15 kr.
07-05-2023 04:00;07-05-2023 05:00;0,10 kr.
07-05-2023 05:00;07-05-2023 06:00;0,08 kr.
07-05-2023 06:00;07-05-2023 07:00;0,12 kr.
07-05-2023 07:00;07-05-2023 08:00;0,19 kr.
07-05-2023 08:00;07-05-2023 09:00;0,22 kr.
07-05-2023 09:00;07-05-2023 10:00;0,18 kr.
07-05-2023 10:00;07-05-2023 11:00;0,12 kr.
07-05-2023 11:00;07-05-2023 12:00;0,10 kr.
07-05-2023 12:00;07-05-2023 13:00;0,09 kr.
07-05-2023 13:00;07-05-2023 14:00;0,07 kr.
07-05-2023 14:00;07-05-2023 15:00;0,08 kr.
07-05-2023 15:00;07-05-2023 16:00;0,12 kr.
07-05-2023 16:00;07-05-2023 17:00;0,19 kr.
07-05-2023 17:00;07-05-2023 18:00;0,28 kr.
07-05-2023 18:00;07-05-2023 19:00;0,29 kr.
07-05-2023 19:00;07-05-2023 20:00;0,30 kr.
07-05-2023 20:00;07-05-2023 21:00;0,25 kr.
07-05-2023 21:00;07-05-2023 22:00;1,06 kr.
07-05-2023 22:00;07-05-2023 23:00;0,33 kr.
07-05-2023 23:00;08-05-2023 00:00;0,25 kr.
08-05-2023 00:00;08-05-2023 01:00;0,15 kr.
08-05-2023 01:00;08-05-2023 02:00;0,12 kr.
08-05-2023 02:00;08-05-2023 03:00;0,12 kr.
08-05-2023 03:00;08-05-2023 04:00;0,11 kr.
08-05-2023 04:00;08-05-2023 05:00;0,14 kr.
08-05-2023 05:00;08-05-2023 06:00;0,19 kr.
08-05-2023 06:00;08-05-2023 07:00;0,20 kr.
08-05-2023 07:00;08-05-2023 08:00;0,20 kr.
08-05-2023 08:00;08-05-2023 09:00;0,28 kr.
08-05-2023 09:00;08-05-2023 10:00;0,25 kr.
08-05-2023 10:00;08-05-2023 11:00;0,39 kr.
08-05-2023 11:00;08-05-2023 12:00;0,34 kr.
08-05-2023 12:00;08-05-2023 13:00;1,30 kr.
08-05-2023 13:00;08-05-2023 14:00;0,61 kr.
08-05-2023 14:00;08-05-2023 15:00;0,30 kr.
08-05-2023 15:00;08-05-2023 16:00;1,46 kr.
08-05-2023 16:00;08-05-2023 17:00;0,30 kr.
08-05-2023 17:00;08-05-2023 18:00;0,35 kr.
08-05-2023 18:00;08-05-2023 19:00;0,54 kr.
08-05-2023 19:00;08-05-2023 20:00;0,58 kr.
08-05-2023 20:00;08-05-2023 21:00;0,45 kr.
08-05-2023 21:00;08-05-2023 22:00;0,24 kr.
08-05-2023 22:00;08-05-2023 23:00;0,19 kr.
08-05-2023 23:00;09-05-2023 00:00;0,13 kr.
09-05-2023 00:00;09-05-2023 01:00;0,08 kr.
09-05-2023 01:00;09-05-2023 02:00;0,07 kr.
09-05-2023 02:00;09-05-2023 03:00;0,10 kr.
09-05-2023 03:00;09-05-2023 04:00;0,06 kr.
09-05-2023 04:00;09-05-2023 05:00;0,08 kr.
09-05-2023 05:00;09-05-2023 06:00;0,07 kr.
09-05-2023 06:00;09-05-2023 07:00;0,12 kr.
09-05-2023 07:00;09-05-2023 08:00;0,14 kr.
09-05-2023 08:00;09-05-2023 09:00;0,13 kr.
09-05-2023 09:00;09-05-2023 10:00;0,12 kr.
09-05-2023 10:00;09-05-2023 11:00;0,11 kr.
09-05-2023 11:00;09-05-2023 12:00;0,10 kr.
09-05-2023 12:00;09-05-2023 13:00;0,08 kr.
09-05-2023 13:00;09-05-2023 14:00;0,08 kr.
09-05-2023 14:00;09-05-2023 15:00;0,07 kr.
09-05-2023 15:00;09-05-2023 16:00;0,08 kr.
09-05-2023 16:00;09-05-2023 17:00;0,07 kr.
09-05-2023 17:00;09-05-2023 18:00;0,14 kr.
09-05-2023 18:00;09-05-2023 19:00;0,27 kr.
09-05-2023 19:00;09-05-2023 20:00;0,28 kr.
09-05-2023 20:00;09-05-2023 21:00;0,20 kr.
09-05-2023 21:00;09-05-2023 22:00;0,61 kr.
09-05-2023 22:00;09-05-2023 23:00;0,23 kr.
09-05-2023 23:00;10-05-2023 00:00;0,10 kr.
10-05-2023 00:00;10-05-2023 01:00;0,12 kr.
10-05-2023 01:00;10-05-2023 02:00;0,33 kr.
10-05-2023 02:00;10-05-2023 03:00;0,25 kr.
10-05-2023 03:00;10-05-2023 04:00;0,06 kr.
10-05-2023 04:00;10-05-2023 05:00;0,06 kr.
10-05-2023 05:00;10-05-2023 06:00;0,07 kr.
10-05-2023 06:00;10-05-2023 07:00;0,08 kr.
10-05-2023 07:00;10-05-2023 08:00;0,13 kr.
10-05-2023 08:00;10-05-2023 09:00;0,13 kr.
10-05-2023 09:00;10-05-2023 10:00;0,13 kr.
10-05-2023 10:00;10-05-2023 11:00;0,13 kr.
10-05-2023 11:00;10-05-2023 12:00;0,13 kr.
10-05-2023 12:00;10-05-2023 13:00;0,09 kr.
10-05-2023 13:00;10-05-2023 14:00;0,06 kr.
10-05-2023 14:00;10-05-2023 15:00;0,07 kr.
10-05-2023 15:00;10-05-2023 16:00;0,08 kr.
10-05-2023 16:00;10-05-2023 17:00;0,12 kr.
10-05-2023 17:00;10-05-2023 18:00;0,94 kr.
10-05-2023 18:00;10-05-2023 19:00;0,57 kr.
10-05-2023 19:00;10-05-2023 20:00;0,34 kr.
10-05-2023 20:00;10-05-2023 21:00;0,24 kr.
10-05-2023 21:00;10-05-2023 22:00;0,22 kr.
10-05-2023 22:00;10-05-2023 23:00;0,16 kr.
10-05-2023 23:00;11-05-2023 00:00;0,07 kr.
11-05-2023 00:00;11-05-2023 01:00;0,12 kr.
11-05-2023 01:00;11-05-2023 02:00;0,10 kr.
11-05-2023 02:00;11-05-2023 03:00;0,08 kr.
11-05-2023 03:00;11-05-2023 04:00;0,07 kr.
11-05-2023 04:00;11-05-2023 05:00;0,07 kr.
11-05-2023 05:00;11-05-2023 06:00;0,11 kr.
11-05-2023 06:00;11-05-2023 07:00;0,24 kr.
11-05-2023 07:00;11-05-2023 08:00;0,25 kr.
11-05-2023 08:00;11-05-2023 09:00;0,32 kr.
11-05-2023 09:00;11-05-2023 10:00;0,20 kr.
11-05-2023 10:00;11-05-2023 11:00;0,23 kr.
11-05-2023 11:00;11-05-2023 12:00;0,26 kr.
11-05-2023 12:00;11-05-2023 13:00;0,32 kr.
11-05-2023 13:00;11-05-2023 14:00;0,30 kr.
11-05-2023 14:00;11-05-2023 15:00;0,24 kr.
11-05-2023 15:00;11-05-2023 16:00;0,16 kr.
11-05-2023 16:00;11-05-2023 17:00;0,18 kr.
11-05-2023 17:00;11-05-2023 18:00;0,37 kr.
11-05-2023 18:00;11-05-2023 19:00;0,60 kr.
11-05-2023 19:00;11-05-2023 20:00;0,52 kr.
11-05-2023 20:00;11-05-2023 21:00;0,78 kr.
11-05-2023 21:00;11-05-2023 22:00;0,39 kr.
11-05-2023 22:00;11-05-2023 23:00;0,27 kr.
11-05-2023 23:00;12-05-2023 00:00;0,12 kr.
12-05-2023 00:00;12-05-2023 01:00;0,16 kr.
12-05-2023 01:00;12-05-2023 02:00;0,15 kr.
12-05-2023 02:00;12-05-2023 03:00;0,15 kr.
12-05-2023 03:00;12-05-2023 04:00;0,17 kr.
12-05-2023 04:00;12-05-2023 05:00;0,13 kr.
12-05-2023 05:00;12-05-2023 06:00;0,16 kr.
12-05-2023 06:00;12-05-2023 07:00;0,20 kr.
12-05-2023 07:00;12-05-2023 08:00;0,20 kr.
12-05-2023 08:00;12-05-2023 09:00;0,22 kr.
12-05-2023 09:00;12-05-2023 10:00;0,33 kr.
